Simulation started, Parallel Config: 
--------------------------------------
[MultiHeadAttention_100] num_dims(3) dims[1,1,16] device_ids[2,10,18,26,34,42,50,58,66,74,82,90,98,106,114,122]
[Add_101] num_dims(3) dims[1,1,2] device_ids[45,109]
[Dense_102] num_dims(3) dims[1,1,1] device_ids[100]
[Dense_103] num_dims(3) dims[1,1,2] device_ids[16,80]
[MultiHeadAttention_104] num_dims(3) dims[1,1,32] device_ids[1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125]
[Add_105] num_dims(3) dims[1,1,8] device_ids[0,16,32,48,64,80,96,112]
[MultiHeadAttention_106] num_dims(3) dims[1,1,16] device_ids[0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120]
[Add_107] num_dims(3) dims[1,1,2] device_ids[53,117]
[Dense_108] num_dims(3) dims[1,1,1] device_ids[17]
[Dense_109] num_dims(3) dims[1,1,4] device_ids[22,54,86,118]
[MultiHeadAttention_110] num_dims(3) dims[1,1,32] device_ids[3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127]
[Add_111] num_dims(3) dims[1,1,8] device_ids[13,29,45,61,77,93,109,125]
[Dense_112] num_dims(3) dims[1,1,2] device_ids[21,85]
[Dense_113] num_dims(3) dims[1,1,2] device_ids[47,111]
[MultiHeadAttention_114] num_dims(3) dims[1,1,32] device_ids[2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126]
[Add_115] num_dims(3) dims[1,1,32] device_ids[0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124]
[MultiHeadAttention_116] num_dims(3) dims[1,1,8] device_ids[6,22,38,54,70,86,102,118]
[Add_117] num_dims(3) dims[1,1,8] device_ids[0,16,32,48,64,80,96,112]
[Dense_118] num_dims(3) dims[1,1,2] device_ids[51,115]
[Dense_119] num_dims(3) dims[1,1,64] device_ids[1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127]
[MultiHeadAttention_120] num_dims(3) dims[1,1,8] device_ids[8,24,40,56,72,88,104,120]
[Add_121] num_dims(3) dims[1,1,4] device_ids[24,56,88,120]
[Dense_122] num_dims(3) dims[1,1,32] device_ids[0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124]
[Dense_123] num_dims(3) dims[1,1,2] device_ids[58,122]
[MultiHeadAttention_124] num_dims(3) dims[1,1,16] device_ids[5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125]
